Date, Symbol , Relationship , Reporting Owner Address , Transaction Code , Avg Price Per Share , Sum of Transaction Shares , Link to Filing Details
2020-11-10T09:22:27-05:00 , ADI , SVP  Atmtve  Comm  ArSpc & Def , PO BOX 9106 , M , 79.75 , 18234 , https://www.sec.gov/Archives/edgar/data/1590599/000000628120000149/xslF345X03/wf-form4_160501813305942.xml
2020-11-10T09:22:27-05:00 , ADI , SVP  Atmtve  Comm  ArSpc & Def , PO BOX 9106 , S , 137.72 , 18234 , https://www.sec.gov/Archives/edgar/data/6281/000000628120000149/xslF345X03/wf-form4_160501813305942.xml
2020-11-10T09:21:21-05:00 , ADI , SVP  Industrial and Consumer , P.O. BOX 9106 , M , 83.48 , 5000 , https://www.sec.gov/Archives/edgar/data/1641388/000000628120000148/xslF345X03/wf-form4_160501806713607.xml
2020-11-10T09:21:21-05:00 , ADI , SVP  Industrial and Consumer , P.O. BOX 9106 , S , 140 , 5000 , https://www.sec.gov/Archives/edgar/data/6281/000000628120000148/xslF345X03/wf-form4_160501806713607.xml
2020-11-10T09:15:27-05:00 , SYKE , CEO & President , 400 NORTH ASHLEY DRIVE , S , 39.06 , 80000 , https://www.sec.gov/Archives/edgar/data/1303613/000112760220028547/xslF345X03/form4.xml
2020-11-10T09:14:37-05:00 , CZWI , CEO and President , C/O CITIZENS COMMUNITY BANCORP  INC. , P , 7.86 , 802 , https://www.sec.gov/Archives/edgar/data/1497054/000136785920000199/xslF345X03/wf-form4_160501766248981.xml
2020-11-10T08:46:09-05:00 , SAM , Director , 186 PARK STREET , M , 183.16 , 297 , https://www.sec.gov/Archives/edgar/data/1550860/000156218020006601/xslF345X03/primarydocument.xml
2020-11-10T08:46:09-05:00 , SAM , Director , 186 PARK STREET , S , 987.09 , 297 , https://www.sec.gov/Archives/edgar/data/949870/000156218020006601/xslF345X03/primarydocument.xml
2020-11-10T06:53:57-05:00 , OPK ,  ,  , P , 3.16 , 250000 , https://www.sec.gov/Archives/edgar/data/1380896/000120919120057540/xslF345X03/doc4.xml
2020-11-10T06:28:17-05:00 , FB , COB and CEO , C/O FACEBOOK  INC. , S , 285.48 , 36000 , https://www.sec.gov/Archives/edgar/data/1548760/000095010320021884/xslF345X03/dp140620_4-zuckerberg3.xml
2020-11-10T06:08:50-05:00 , FB , COB and CEO , C/O FACEBOOK  INC. , S , 285.56 , 12250 , https://www.sec.gov/Archives/edgar/data/1548760/000095010320021883/xslF345X03/dp140615_4-zuckerberg2.xml
2020-11-09T21:58:31-05:00 , FB , COB and CEO , C/O FACEBOOK  INC. , S , 285.58 , 14000 , https://www.sec.gov/Archives/edgar/data/1548760/000095010320021881/xslF345X03/dp140603_4-zuckerberg.xml
2020-11-09T21:47:34-05:00 , TWNK , Other , 200 GREENWICH AVENUE , S , 13.49 , 858236 , https://www.sec.gov/Archives/edgar/data/1689843/000089924320030690/xslF345X03/doc4.xml
2020-11-09T21:33:36-05:00 , TTD , Chief Marketing Officer , C/O THE TRADE DESK  INC. , M , 281.68 , 3274 , https://www.sec.gov/Archives/edgar/data/1755875/000120919120057539/xslF345X03/doc4.xml
2020-11-09T21:33:36-05:00 , TTD , Chief Marketing Officer , C/O THE TRADE DESK  INC. , S , 750.54 , 5187 , https://www.sec.gov/Archives/edgar/data/1671933/000120919120057539/xslF345X03/doc4.xml
2020-11-09T21:30:19-05:00 , VG , Director , C/O VONAGE HOLDINGS CORP. , S , 12.14 , 100000 , https://www.sec.gov/Archives/edgar/data/1361433/000127283020000246/xslF345X03/wf-form4_160497540287381.xml
2020-11-09T21:19:26-05:00 , ARES , Co-Founder & Co-Chair of PEG , 2000 AVENUE OF THE STARS , S , 45.36 , 29171 , https://www.sec.gov/Archives/edgar/data/1176948/000162828020016144/xslF345X03/wf-form4_160497475291725.xml
2020-11-09T21:11:59-05:00 , HCA , Pres-Clinical Operations & CMO , ONE PARK PLAZA , M , 37.18 , 12500 , https://www.sec.gov/Archives/edgar/data/1373493/000120919120057537/xslF345X03/doc4.xml
2020-11-09T21:11:59-05:00 , HCA , Pres-Clinical Operations & CMO , ONE PARK PLAZA , S , 147.36 , 5531 , https://www.sec.gov/Archives/edgar/data/860730/000120919120057537/xslF345X03/doc4.xml
2020-11-09T21:11:12-05:00 , HCA , SVP and CIO , ONE PARK PLAZA , M , 47.97 , 10000 , https://www.sec.gov/Archives/edgar/data/1551011/000120919120057536/xslF345X03/doc4.xml
2020-11-09T21:11:12-05:00 , HCA , SVP and CIO , ONE PARK PLAZA , S , 148.07 , 3948 , https://www.sec.gov/Archives/edgar/data/860730/000120919120057536/xslF345X03/doc4.xml
2020-11-09T21:08:47-05:00 , HCA , SVP and Chief Nursing Officer , ONE PARK PLAZA , S , 146.33 , 5235 , https://www.sec.gov/Archives/edgar/data/1632834/000120919120057534/xslF345X03/doc4.xml
2020-11-09T21:03:53-05:00 , PEN , Chief Innovator , ONE PENUMBRA PLACE , S , 255.59 , 2002 , https://www.sec.gov/Archives/edgar/data/1651318/000132173220000151/xslF345X03/wf-form4_160497380300646.xml
2020-11-09T20:52:04-05:00 , DECK , President &amp; CEO , 250 COROMAR DRIVE , M , 61.86 , 34045 , https://www.sec.gov/Archives/edgar/data/1556488/000159396820002175/xslF345X03/primary_01.xml
2020-11-09T20:52:04-05:00 , DECK , President &amp; CEO , 250 COROMAR DRIVE , S , 271.36 , 34045 , https://www.sec.gov/Archives/edgar/data/910521/000159396820002175/xslF345X03/primary_01.xml
2020-11-09T20:51:15-05:00 , TCS , Director , 11111 SANTA MONICA BOULEVARD  SUITE 2000 , S , 10.21 , 610354 , https://www.sec.gov/Archives/edgar/data/1590836/000120919120057532/xslF345X03/doc4.xml
2020-11-09T20:49:34-05:00 , TCS , Director , 11111 SANTA MONICA BOULEVARD , S , 10.21 , 610354 , https://www.sec.gov/Archives/edgar/data/1411688/000120919120057530/xslF345X03/doc4.xml
2020-11-09T20:46:21-05:00 , TCS , Director , 11111 SANTA MONICA BOULEVARD , S , 10.21 , 610354 , https://www.sec.gov/Archives/edgar/data/1411688/000120919120057528/xslF345X03/doc4.xml
2020-11-09T20:40:57-05:00 , EW , CVP Strategy/Corp Development , ONE EDWARDS WAY , S , 80.95 , 573.858 , https://www.sec.gov/Archives/edgar/data/1196661/000122520820013270/xslF345X03/doc4.xml
2020-11-09T20:22:51-05:00 , FRPT , President and COO , C/O FRESHPET  INC. , M , 11 , 5353 , https://www.sec.gov/Archives/edgar/data/1623963/000143774920023279/xslF345X03/rdgdoc.xml
2020-11-09T20:22:51-05:00 , FRPT , President and COO , C/O FRESHPET  INC. , S , 136.8 , 5353 , https://www.sec.gov/Archives/edgar/data/1611647/000143774920023279/xslF345X03/rdgdoc.xml
2020-11-09T20:22:05-05:00 , FRPT , EVP  Secretary & Treasurer , C/O FRESHPET  INC. , M , 9.05 , 5000 , https://www.sec.gov/Archives/edgar/data/1623800/000143774920023277/xslF345X03/rdgdoc.xml
2020-11-09T20:22:05-05:00 , FRPT , EVP  Secretary & Treasurer , C/O FRESHPET  INC. , S , 136.21 , 5000 , https://www.sec.gov/Archives/edgar/data/1611647/000143774920023277/xslF345X03/rdgdoc.xml
2020-11-09T20:08:19-05:00 , SPPI , Chief Medical Officer , 11500 S. EASTERN AVE.  SUITE 240 , S , 3.53 , 12025 , https://www.sec.gov/Archives/edgar/data/1038704/000120919120057520/xslF345X03/doc4.xml
2020-11-09T20:01:36-05:00 , SWKS , SVP  Gen. Counsel & Secretary , 5260 CALIFORNIA AVENUE , S , 147.49 , 9412 , https://www.sec.gov/Archives/edgar/data/1689676/000120919120057519/xslF345X03/doc4.xml
2020-11-09T19:44:58-05:00 , SLAB , SR VP & GM  INFRA & Automotive , 400 WEST CESAR CHAVEZ , S , 104.11 , 200 , https://www.sec.gov/Archives/edgar/data/1792015/000168110820000054/xslF345X03/primary_doc.xml
