Date, Symbol , Relationship , Reporting Owner Address , Transaction Code , Avg Price Per Share , Sum of Transaction Shares , Link to Filing Details
2020-11-05T19:51:51-05:00 , IDXX , Executive Vice President , C/O IDEXX LABORATORIES  INC. , M , 71.75 , 2851 , https://www.sec.gov/Archives/edgar/data/1740689/000156761920018776/xslF345X03/doc1.xml
2020-11-05T19:51:51-05:00 , IDXX , Executive Vice President , C/O IDEXX LABORATORIES  INC. , S , 443 , 1304 , https://www.sec.gov/Archives/edgar/data/874716/000156761920018776/xslF345X03/doc1.xml
2020-11-05T19:33:36-05:00 , CDNA , Executive Chair , C/O CAREDX  INC. , M , 6.11 , 10000 , https://www.sec.gov/Archives/edgar/data/1613855/000121723420000198/xslF345X03/wf-form4_160462280238009.xml
2020-11-05T19:33:36-05:00 , CDNA , Executive Chair , C/O CAREDX  INC. , S , 54.14 , 10000 , https://www.sec.gov/Archives/edgar/data/1217234/000121723420000198/xslF345X03/wf-form4_160462280238009.xml
2020-11-05T19:14:36-05:00 , TWLO , Chief Operating Officer , C/O TWILIO INC. , M , 31.72 , 18488 , https://www.sec.gov/Archives/edgar/data/1447669/000144766920000211/xslF345X03/wf-form4_160462166024331.xml
2020-11-05T19:14:36-05:00 , TWLO , Chief Operating Officer , C/O TWILIO INC. , S , 272.31 , 18488 , https://www.sec.gov/Archives/edgar/data/1386396/000144766920000211/xslF345X03/wf-form4_160462166024331.xml
2020-11-05T19:03:41-05:00 , DLR , CHIEF TECHNOLOGY OFFICER , FOUR EMBARCADERO CENTER  SUITE 3200 , M , 0 , 1683 , https://www.sec.gov/Archives/edgar/data/1714890/000141588920002549/xslF345X03/form4-11052020_041128.xml
2020-11-05T19:03:41-05:00 , DLR , CHIEF TECHNOLOGY OFFICER , FOUR EMBARCADERO CENTER  SUITE 3200 , S , 147.48 , 1683 , https://www.sec.gov/Archives/edgar/data/1297996/000141588920002549/xslF345X03/form4-11052020_041128.xml
2020-11-05T19:01:02-05:00 , PINS , Director , C/O PINTEREST  INC. , S , 59.16 , 268012 , https://www.sec.gov/Archives/edgar/data/1534341/000150629320000261/xslF345X03/wf-form4_160462084373752.xml
2020-11-05T19:00:10-05:00 , SPRO , CEO and President , C/O SPERO THERAPEUTICS  INC. , M , 5.9 , 9507 , https://www.sec.gov/Archives/edgar/data/1720974/000089924320030490/xslF345X03/doc4.xml
2020-11-05T19:00:10-05:00 , SPRO , CEO and President , C/O SPERO THERAPEUTICS  INC. , S , 14.35 , 9507 , https://www.sec.gov/Archives/edgar/data/1701108/000089924320030490/xslF345X03/doc4.xml
2020-11-05T18:59:08-05:00 , CLX , SVP - Corporate Business Dev , 1221 BROADWAY , M , 141.51 , 15791 , https://www.sec.gov/Archives/edgar/data/1662773/000122520820013141/xslF345X03/doc4.xml
2020-11-05T18:59:08-05:00 , CLX , SVP - Corporate Business Dev , 1221 BROADWAY , S , 212.47 , 15114 , https://www.sec.gov/Archives/edgar/data/21076/000122520820013141/xslF345X03/doc4.xml
2020-11-05T18:52:37-05:00 , ENSG , VP and General Counsel , 29222 RANCHO VIEJO ROAD , M , 5.44 , 5400 , https://www.sec.gov/Archives/edgar/data/1475842/000112537620000192/xslF345X03/wf-form4_160462034092118.xml
2020-11-05T18:52:37-05:00 , ENSG , VP and General Counsel , 29222 RANCHO VIEJO ROAD , S , 63 , 5400 , https://www.sec.gov/Archives/edgar/data/1125376/000112537620000192/xslF345X03/wf-form4_160462034092118.xml
2020-11-05T18:52:18-05:00 , SPSC , CEO , 333 SOUTH SEVENTH STREET , M , 33.92 , 77960 , https://www.sec.gov/Archives/edgar/data/1489095/000120919120057202/xslF345X03/doc4.xml
2020-11-05T18:52:18-05:00 , SPSC , CEO , 333 SOUTH SEVENTH STREET , S , 91.31 , 77960 , https://www.sec.gov/Archives/edgar/data/1092699/000120919120057202/xslF345X03/doc4.xml
2020-11-05T18:49:17-05:00 , WSC , President & COO , 4646 E. VAN BUREN STREET  , M , 10.91 , 91408 , https://www.sec.gov/Archives/edgar/data/1647088/000110465920121979/xslF345X03/a4.xml
2020-11-05T18:47:33-05:00 , WSC , Director , 4646 E. VAN BUREN STREET  , M , 13.52 , 4.81e+06 , https://www.sec.gov/Archives/edgar/data/1647088/000110465920121976/xslF345X03/a4.xml
2020-11-05T18:47:17-05:00 , GRUB , Director , C/O GRUBHUB INC. , M , 44.9 , 29776 , https://www.sec.gov/Archives/edgar/data/1594109/000120919120057200/xslF345X03/doc4.xml
2020-11-05T18:47:17-05:00 , GRUB , Director , C/O GRUBHUB INC. , S , 74.19 , 31632 , https://www.sec.gov/Archives/edgar/data/1193074/000120919120057200/xslF345X03/doc4.xml
2020-11-05T18:45:44-05:00 , GRUB , Prin. Acct. Officer/Controller , C/O GRUBHUB INC. , S , 77.24 , 824 , https://www.sec.gov/Archives/edgar/data/1784900/000120919120057199/xslF345X03/doc4.xml
